,Aspect,Category,TweetID
0,Favorit,CONTENDER_General,1144116881596571648
1,Obszön!,JURY_Discussion_Valuation,1144940670433529856
2,zwischenhuster,ONSITE-AUDIENCE_Behaviour,1144161286386835456
3,tddl,META_Main-Event,1144159767914586112
4,Favs,TEXT_General,1144159767914586112
5,"Menschen, die sich in Pflanzen verwandeln",TEXT_General-Content_Plot,1144160083389140993
6,Raunen,READING_Pronunciation_Intonation_Understandability,1144160083389140993
7,Zusammenhang,TEXT_General-Content_Plot,1144160083389140993
8,einzelne Bilder,TEXT_General-Content_Plot,1144160083389140993
9,Gesamtbild,TEXT_General-Content_Plot,1144160083389140993
10,"detailliert Fahrt & Hinrichtung beschrieben, aber ohne Dialoge, ohne Namen, ohne Ostfronterinnerungen, und dann, im allerletzten Absatz, die Liste der Ermordeten, ein Dutzend Nachnamen, dazwischen die Scholls",TEXT_General-Content_Plot,1144942716905803776
11,es,TEXT_General,1144943798906228737
12,"Herr Winkels entscheidet ab sofort, was in der Literatur „geht“ und was nicht.",JURY_Discussion_Valuation,1144944496012091392
13,Literatur,META_Literature_Literary-Prizes,1144944496012091392
14,Bachmann,META_Main-Event,1144156402543484929
15,Tweets über #tddl,META_Technology_Social-Media,1144959348814360578
16,Ende der #tddl,META_Main-Event,1144963940105035776
17,"Hubert steht an der Drau und sucht die Furt, um ohne Klagen das Weite zu suchen.",JURY_Behaviour,1144963940105035776
18,Sobald ich Ankowitsch höre,JURY_Voice_Language-Use,1144154475931799553
19,österreichisch,JURY_Voice_Language-Use,1144154475931799553
20,Outfit,JURY_Appearance_Clothing,1144154789430910976
21,tddl,META_Main-Event,1144154801556590592
22,Jury,JURY_General,1144154516172005377
23,https://twitter.com/KlausKastberger/status/1144152391354322944,META_Online-Assessment,1144154516172005377
24,tddl,META_Main-Event,1144964729158492160
25,Autorenvideo,META_Videoportrait,1144156364341731328
26,Stimme,CONTENDER_Voice_Language-Use,1144156364341731328
27,@KlausKastberger applaudiert #Beyer nicht.,JURY_Behaviour,1144944206944907264
28,text,TEXT_General,1144943657482670080
29,jury so polarisieren,JURY_Discussion_Valuation,1144943657482670080
30,Beyer,CONTENDER_General,1144942603449831429
31,#tddl-Hashtag verfolgt,META_Technology_Social-Media,1144160125973925888
32,https://twitter.com/Frank__Hornung/status/1144158640158519296,META_Online-Assessment,1144160125973925888
33,Theater,META_Main-Event,1144159773895606272
34,tddl,META_Main-Event,1144159773895606272
35,Bühnendeko,META_Location,1144161276786040832
36,tddl,META_Main-Event,1144161276786040832
37,Der Erklärbär zeigt Zähne. #tddl #wiederstein,JURY_Behaviour,1144940617123934208
38,acmetheater on Twitter,META_Technology_Social-Media,1144064077196607488
39,"acmetheater on Twitter: ""die #tddl sind dope!… """,META_Online-Assessment,1144064077196607488
40,tddl,META_Main-Event,1144064077196607488
41,https://twitter.com/theateracme/status/1143604347831541767,META_Online-Assessment,1144064077196607488
42,tddl,META_Main-Event,1144048611292045313
43,Gleich verlangt Michael Wiederstein Satisfaktion. Die Waffe seiner Wahl: ein Fächer.,JURY_Behaviour,1144940426736087040
44,tddl,META_Main-Event,1144160066414796800
45,Klagenfurt,META_Main-Event,1144159754362728448
46,Text wie von #Schultens,TEXT_General,1144159754362728448
47,lobende Rezensionen von #Wilke,JURY_Discussion_Valuation,1144159754362728448
48,Sätze im Text,TEXT_Language_Style,1144159541745131521
49,voting,META_Voting,1144947549175988224
50,tddl,META_Main-Event,1144944545005805569
51,Sommertag,META_Weather,1144943822679527425
52,Abstimmen zur Jurorin/zum Juror 2019,META_Voting,1144943822679527425
53,Jury,JURY_General,1144943822679527425
54,jurybewertung,"META_Voting,JURY_General",1144943822679527425
55,tddl,META_Main-Event,1144959320028864514
56,Texte zum Lesen,TEXT_General,1144959320028864514
